2012-01-07 22:54:04 Warning: Warning (512): Method HtmlHelper::javascript does not exist in [/usr/share/php/cake/libs/view/helper.php, line 154]
2012-01-08 00:06:29 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'count' at line 1</span> in [/usr/share/php/cake/libs/model/datasources/dbo_source.php, line 684]
2012-01-10 00:10:18 Warning: Warning (2): http_build_query() [http://php.net/function.http-build-query]: Parameter 1 expected to be Array or Object.  Incorrect value given in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/controllers/users_controller.php, line 95]
2012-01-16 19:46:21 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'Referrer.created' in 'order clause'</span> in [/usr/share/php/cake/libs/model/datasources/dbo_source.php, line 684]
2012-01-16 19:50:45 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'Referrer.created' in 'order clause'</span> in [/usr/share/php/cake/libs/model/datasources/dbo_source.php, line 684]
2012-01-16 19:50:46 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'Referrer.created' in 'order clause'</span> in [/usr/share/php/cake/libs/model/datasources/dbo_source.php, line 684]
2012-01-16 19:50:46 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'Referrer.created' in 'order clause'</span> in [/usr/share/php/cake/libs/model/datasources/dbo_source.php, line 684]
2012-01-16 19:50:47 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'Referrer.created' in 'order clause'</span> in [/usr/share/php/cake/libs/model/datasources/dbo_source.php, line 684]
2012-01-16 19:50:47 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'Referrer.created' in 'order clause'</span> in [/usr/share/php/cake/libs/model/datasources/dbo_source.php, line 684]
2012-01-16 19:50:47 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'Referrer.created' in 'order clause'</span> in [/usr/share/php/cake/libs/model/datasources/dbo_source.php, line 684]
2012-01-16 19:50:47 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'Referrer.created' in 'order clause'</span> in [/usr/share/php/cake/libs/model/datasources/dbo_source.php, line 684]
